1.11227	-0.345324
0.608056	0.641006
-nan	-nan
-0.712082	1.15915
-1.71895	0.417466
-0.400054	2.28091
-2.27172	0.225145
-nan	-nan
0.866331	1.38714
-1.03258	0.308187
-nan	-nan
-0.358203	0.300349
-1.11381	-0.321359
-nan	-nan
-nan	-nan
0.0474476	1.24417
0.844847	-1.52985
2.22414	0.39271
-0.00641742	0.472805
-0.749836	0.980675
0.154229	1.5565
-0.227977	0.894644
-1.32841	-0.904516
-nan	-nan
-nan	-nan
0.0541931	-0.86296
-1.06204	0.563226
0.786889	-0.304702
-nan	-nan
-0.0695497	-0.718388
-nan	-nan
-nan	-nan
-1.70496	0.290527
-0.641019	1.33681
0.155588	2.08178
0.038588	-0.562489
-0.105514	0.730646
0.319236	0.163729
-0.891123	0.985429
1.31713	-1.37333
0.505623	-0.89902
-0.159352	1.01119
0.973994	-0.501975
-0.242362	0.351762
-1.074	1.33978
0.528939	0.102713
0.396976	0.905164
-0.111086	0.779234
-0.394803	1.22358
0.264499	0.590069
-0.0922981	-1.49799
-nan	-nan
-nan	-nan
1.94076	-0.936076
0.799445	-1.46351
1.01151	-0.680967
-0.290069	-1.49997
-0.834082	-0.597307
1.41749	-2.09693
-nan	-nan
-nan	-nan
-0.028241	1.61462
-nan	-nan
1.53808	-0.974087
1.33881	-0.703986
-0.7636	-0.993225
0.493948	-1.49425
-0.703911	0.470101
-0.350579	0.274706
-0.693822	0.506213
-nan	-nan
-0.662066	0.0319046
-0.672263	-0.539692
0.833918	0.651497
0.0758076	0.226316
0.68766	1.28073
-nan	-nan
0.039353	-0.821265
-nan	-nan
-0.158962	1.31719
0.438268	1.52775
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
0.359203	-1.2228
-1.11953	-0.359951
-nan	-nan
-2.05442	0.765243
2.23058	-1.33178
0.297586	-0.635803
0.192773	1.60995
-nan	-nan
0.203833	0.999989
1.35382	0.704255
-nan	-nan
-nan	-nan
0.0697039	0.0618173
-nan	-nan
-nan	-nan
2.09466	-0.0344107
-0.348901	0.342651
-nan	-nan
0.746676	-1.25665
0.616053	-1.28874
1.15381	-1.05324
-0.721999	-1.13249
-0.644426	0.201379
-1.19286	0.652375
0.0109617	0.483632
-1.75044	0.366922
0.338185	-0.59645
-0.75463	2.44887
0.66529	-0.0734925
-0.437011	0.928464
-nan	-nan
-1.68942	1.073
0.623377	-0.497792
2.0324	-0.197473
-0.178548	-1.92784
0.577086	-0.863761
0.116111	-0.437609
-0.740394	1.68695
1.41395	1.11889
-0.52003	-1.07274
1.36178	1.58709
1.19353	-0.887794
0.64953	-0.804455
0.531032	0.233092
0.79507	-1.2603
0.0683078	-0.868259
-0.358846	0.565433
0.279216	-0.609453
-0.825729	-0.293988
1.51489	1.84123
0.97505	-1.23653
0.956658	-0.734128
-0.5658	-1.03041
-nan	-nan
0.983572	-0.506283
-1.31747	-0.268324
-nan	-nan
1.02553	0.770782
-0.739739	0.362757
-0.561385	1.32543
-nan	-nan
0.398978	-0.326809
1.42192	0.232624
-0.281802	0.562923
-nan	-nan
-0.0667934	2.74215
-0.758029	-0.508185
1.12341	-0.0234221
-0.123306	1.18407
-0.0359555	-1.86764
-0.955746	0.550812
0.424727	-0.673704
2.50413	-0.184048
0.761803	0.505232
-0.608903	-0.526103
-0.00410354	-1.05403
-0.94089	-0.362969
-0.199273	0.491258
0.764977	0.22865
0.401386	0.379102
-0.0500683	-2.10483
-1.08745	1.63449
0.656803	-1.45433
-nan	-nan
-0.787853	0.295747
-0.896929	-1.39226
